指标类别,指标名称,计算公式,企业会计准则数据来源,小企业会计准则数据来源,通用评价标准,指标说明
盈利能力,毛利率,(营业收入 - 营业成本) / 营业收入 × 100%,利润表_企业会计准则：营业收入（本年累计金额）、营业成本（本年累计金额）,利润表_小企业会计准则：营业收入（本年累计金额）、营业成本（本年累计金额）,一般行业≥15%，高新技术企业≥25%，低于5%需重点关注,反映产品核心盈利能力，越高说明产品竞争力越强
盈利能力,净利率,净利润 / 营业收入 × 100%,利润表_企业会计准则：净利润（本年累计金额）、营业收入（本年累计金额）,利润表_小企业会计准则：净利润（本年累计金额）、营业收入（本年累计金额）,一般行业≥5%，优质企业≥10%，连续为负说明经营亏损,反映企业整体盈利水平，综合考虑所有成本费用
盈利能力,净资产收益率(ROE),净利润 / 平均净资产 × 100%，平均净资产=(期初净资产+期末净资产)/2,利润表_企业会计准则：净利润（本年累计金额）；资产负债表_企业会计准则：所有者权益合计（年初余额、期末余额）,利润表_小企业会计准则：净利润（本年累计金额）；资产负债表_小企业会计准则：所有者权益合计（年初余额、期末余额）,优秀企业≥15%，良好≥10%，低于5%说明股东回报较低,衡量股东投资回报率，是企业综合盈利能力的核心指标
盈利能力,净利润,直接取数,利润表_企业会计准则：净利润（本年累计金额）,利润表_小企业会计准则：净利润（本年累计金额）,正数为盈利，负数为亏损；应保持稳定增长或维持合理水平,企业最终经营成果，反映企业扣除所有成本费用和税费后的净收益
盈利能力,净利润增长率,(本期净利润 - 上期净利润) / 上期净利润 × 100%,利润表_企业会计准则：净利润（本年累计金额、上年同期累计金额）,利润表_小企业会计准则：净利润（本年累计金额、上年同期累计金额）,正数为增长，负数为下降；增长幅度应与营收增长匹配，过高或过低需分析原因,反映企业净利润的增长速度，体现企业盈利质量和增长潜力
费用控制,管理费用率,管理费用 / 营业收入 × 100%,利润表_企业会计准则：管理费用（本年累计金额）、营业收入（本年累计金额）,利润表_小企业会计准则：管理费用（本年累计金额）、营业收入（本年累计金额）,低于行业平均水平为佳，一般控制在3%-15%之间，体现企业管理效率,反映每单位营业收入所耗费的管理费用，衡量企业管理水平和成本控制能力
费用控制,销售费用率,销售费用 / 营业收入 × 100%,利润表_企业会计准则：销售费用（本年累计金额）、营业收入（本年累计金额）,利润表_小企业会计准则：销售费用（本年累计金额）、营业收入（本年累计金额）,低于行业平均水平为佳，一般控制在5%-20%之间，具体因行业而异,反映每单位营业收入所耗费的销售费用，衡量销售费用的投入效率
偿债能力,资产负债率,总负债 / 总资产 × 100%,资产负债表_企业会计准则：负债合计（期末）、资产总计（期末）,资产负债表_小企业会计准则：负债合计（期末）、资产总计（期末）,安全范围40%-60%，超过70%风险较高，低于30%可能资金利用不足,反映企业财务杠杆水平和债务风险程度
偿债能力,流动比率,流动资产 / 流动负债,资产负债表_企业会计准则：流动资产合计（期末）、流动负债合计（期末）,资产负债表_小企业会计准则：流动资产合计（期末）、流动负债合计（期末）,理想值2.0左右，低于1.0短期偿债风险高，高于3.0资金效率低,衡量企业短期偿债能力，反映流动资产对流动负债的保障程度
偿债能力,速动比率,(流动资产 - 存货) / 流动负债,资产负债表_企业会计准则：流动资产合计、存货、流动负债合计（期末）,资产负债表_小企业会计准则：流动资产合计、存货、流动负债合计（期末）,理想值1.0左右，低于0.5短期偿债风险极高,比流动比率更严格，排除变现能力较弱的存货
